QSurf,FSurf,QBody,FBody,Braun,NCIT,Exergen
29.6,85.3,93.6,nan,nan,30.8,84.8
30.4,90.8,93.9,91.0,34.7,31.5,86.2
30.9,87.7,94.4,93.0,35.3,34.0,94.9
31.2,88.6,94.3,94.3,35.6,34.1,95.0
31.6,89.5,94.3,95.6,35.9,34.4,95.5
32.1,90.3,94.6,96.1,36.2,35.1,95.9
32.6,91.1,95.6,96.4,36.3,35.6,96.2
33.1,92.1,95.8,96.8,36.4,36.1,96.6
33.4,92.5,96.0,96.9,36.5,36.4,96.8
33.6,93.0,96.3,97.2,36.6,36.7,97.0
33.9,93.1,96.6,97.2,36.6,37.0,97.2
34.1,93.6,nan,97.4,36.7,37.3,97.4
34.5,94.4,98.1,97.8,36.7,37.8,97.8
34.9,95.2,98.3,98.2,36.8,38.3,98.2
35.2,95.6,98.5,98.3,36.9,38.6,98.5
35.5,96.3,99.9,98.5,37.0,39.0,99.0
35.7,96.7,100.0,98.7,37.1,39.2,99.4
36.0,97.1,100.2,98.8,37.3,39.5,99.6
36.3,97.5,101.1,99.2,37.4,39.8,100.1
36.5,97.8,101.1,99.2,37.6,40.0,100.5
36.7,98.3,101.4,99.9,37.9,40.3,100.9
37.0,98.5,102.5,100.0,38.2,40.5,101.4
37.2,99.2,102.6,100.7,38.5,40.8,101.8
37.4,99.4,104.2,100.8,38.8,41.3,102.5
37.7,99.9,105.6,101.2,39.2,41.5,103.2
38.0,100.6,107.9,101.9,39.8,41.9,104.4
