SetPoint,QSurf,QSurf2,ExtechSurf,Extec2,QBody,QBody2,ExtechBody,Extec2,Exergen,Braun NoTouch,Braun In-ear,Alt,Ambient,Touch thermometer
32,32.1,32.4,32.6,33.3,36.2,36.2,35.7,35.9,35.2,94.4,0,34.2,26.5,0
32.5,32.7,32.9,33,33.3,36.2,36.4,35.8,36,35.5,95.5,0,34.9,26.5,0
33,33.1,33.3,33.3,33.9,36.3,36.4,36,36.3,35.8,95.6,0,35.6,26.5,0
33.5,33.6,33.8,33.8,34.3,36.6,36.6,36.2,36.5,36.1,96.6,0,36.3,26.5,0
34,34,34.2,34.4,34.8,36.6,36.7,36.5,36.7,36.4,96.9,94.05,36.9,26.5,0
34.5,34.5,34.7,34.9,35.3,36.7,36.7,36.7,36.8,36.7,98.1,95.1,37.3,26.5,0
35,35,35.2,35.3,35.8,36.8,36.9,36.8,37,37.1,98.4,96.15,37.8,26.5,0
35.5,35.5,35.7,36,36.4,36.9,37.1,37,37.3,37.5,99.8,97.1,38.2,26.5,0
36,36,36.2,36.6,36.8,37.3,37.4,37.5,37.7,38,100,98.1,38.7,26.5,0
36.5,36.5,36.7,36.9,37.2,37.6,37.8,37.9,38.1,38.5,101.3,99.2,39.2,26.5,0
37,37,37.2,37.4,37.7,38.2,38.4,38.2,38.5,39.2,102.6,100.05,39.8,26.5,0
37.5,37.5,37.6,37.9,38.2,38.8,39.2,38.6,38.9,39.9,104,101.3,40.3,26.5,0
38,38,38.1,38.4,38.6,39.7,39.8,39,39.3,40.8,105.8,102.2,40.7,26.5,0
38.5,38.5,38.6,38.9,39.1,40.1,40.2,39.3,39.6,41.7,107.8,103.2,41.3,26.5,0
39,38.9,39,39.6,39.8,40.5,40.6,39.8,40,0,0,104.2,41.7,26.5,0
30,29.9,30.1,30.4,30.7,34.3,34.5,33,33.4,29.9,93.7,0,32.6,22,0
30.5,30.5,30.6,30.7,30.8,34.8,35,33.7,33.8,30.4,93.9,0,33.2,22,0
31,30.9,31.1,31.1,31.3,35.3,35.6,34.5,34.6,35.1,94.2,0,33.7,22,0
31.5,31.5,31.6,31.6,31.7,35.8,35.9,35.3,35.3,35.4,95.5,0,34.1,22,97.2
32,31.9,32.1,32.1,32.3,36.1,36.2,35.6,35.6,35.6,95.7,0,34.6,21.6,97.2
32.5,32.4,32.6,32.6,32.7,36.2,36.3,35.7,35.7,35.8,96.9,0,35.1,21.6,97
33,32.9,33,33.1,33.3,36.3,36.3,35.9,35.9,36,97.3,0,35.7,21.6,97.3
33.5,33.4,33.5,33.7,33.8,36.5,36.5,36.1,36.2,36.3,97.7,0,36.2,21.5,97.5
34,33.9,34,34.1,34.2,36.6,36.6,36.3,36.4,36.6,98.4,94,36.7,21.5,97.4
34.5,34.4,34.5,34.6,34.8,36.7,36.8,36.6,36.7,36.8,99,94.5,37.2,21.4,97.4
35,34.9,35,35.1,35.3,36.9,36.9,36.8,36.8,37.2,99.7,96.4,37.6,21.4,97.2
35.5,35.4,35.5,35.6,35.7,36.9,36.9,36.9,37,37.4,100.4,97.2,38.1,21.5,97.7
36,35.9,36,36.1,36.2,37.2,37.2,37.1,37.2,38.2,101.7,98.2,38.6,21.5,97.5
36.5,36.4,36.5,36.5,36.8,37.5,37.5,37.6,37.7,38.8,103.1,99.2,39,21.5,97.4
37,36.8,36.9,37.1,37.3,39,38.1,38,38.1,39.5,104.6,100.4,39.6,21.5,97.6
37.5,37.4,37.4,37.7,38,38.8,38.8,38.3,38.5,40.2,106.2,101.2,40.2,21.5,97.9
38,37.9,37.9,38,38.3,39.6,39.6,38.7,39,41,107.9,102.3,40.7,21.5,98.3
38.5,38.4,38.4,38.5,38.8,40,40.1,39.1,39.3,41.9,0,103.2,41.1,21.5,98.3
39,38.8,38.8,39,39.2,40.4,40.4,39.5,39.6,0,0,104.3,41.6,21.5,0
32,32,32,32.3,32.3,36.1,36.1,35.6,35.7,35.9,97.1,0,34.7,19.1,0
32.5,32.4,32.5,32.8,32.8,36.2,36.2,35.7,35.8,36.1,97.3,0,35.2,19.1,0
33,32.9,33,33.2,33.3,36.3,36.4,36,36,36.4,97.6,0,35.7,19.1,0
33.5,33.4,33.4,33.8,34,36.5,36.5,36.2,36.2,36.6,99,93.4,36.2,19.1,0
34,33.9,33.9,34.2,34.5,36.5,36.5,36.4,36.5,36.9,99.2,94.4,36.7,19.1,0
34.5,34.4,34.4,34.7,34.9,36.7,36.7,36.6,36.7,37.2,100.5,95.4,37.3,19.1,0
35,34.8,34.9,35.1,35.4,36.9,36.9,36.8,36.8,37.5,100.7,96.5,37.8,19,0
35.5,35.3,35.4,35.7,36,36.9,36.9,37.1,37.1,38,103.3,97.6,38.1,19.5,0
36,35.8,35.8,36.2,36.5,37.1,37.2,37.3,37.6,38.4,103.6,98.3,38.5,19.6,0
36.5,36.3,36.3,36.7,37.1,37.5,37.5,37.7,38.1,38.9,105,99.3,39,19.6,0
37,36.8,36.9,37.1,37.4,37.9,38,38,38.3,39.6,106.5,100.3,39.5,19.6,0
37.5,37.2,37.3,37.7,37.9,38.7,38.7,38.5,38.7,40.4,108.4,101.2,40,19.8,0
38,37.8,37.8,38.1,38.5,39.4,39.5,38.8,39.1,41.2,0,102.3,40.6,19.8,0
38.5,38.2,38.3,38.6,39.1,39.9,40,39.1,39.5,41.9,0,103.3,41.2,20,0
39,38.7,38.8,39,39.6,40.3,40.4,39.5,40.1,0,0,104.3,41.7,20,0
