Subject,Ambient A, Ambient B, Ambient C, Ambient D
E1,22.14,22.14,22.14,22.14
E2,22.14,22.14,22.14,22.14
E3,22.14,22.14,22.14,22.14
E4,22.14,22.14,22.14,22.14
F1,21.20,21.45,21.70,21.51
F2,21.57,21.20,21.51,21.70
F3,21.64,21.51,21.57,21.57
F4,21.54,21.57,21.51,21.29
F5,21.32,21.51,21.54,21.57
F6,21.57,21.51,21.51,21.57
F7,21.57,21.61,21.42,21.54
G1,21.82,22.23,22.57,22.51
G2,22.57,21.89,22.45,22.32
G3,22.45,22.64,22.26,22.07
G4,22.20,22.51,22.14,22.54
G5,22.45,22.45,22.57,22.57
G6,22.57,22.20,22.57,22.39
H1,21.20,21.45,21.51,21.39
H2,21.39,21.26,21.39,21.45
H3,21.39,21.36,21.45,21.39
H4,21.39,21.45,21.45,21.39
I1,21.32,21.64,21.45,21.70
I2,21.45,21.32,21.64,21.57
I3,21.51,21.54,21.61,21.45
J1,21.45,21.51,21.51,21.70
J2,21.45,21.57,21.76,21.57
J3,21.51,21.64,21.57,21.51
J4,21.57,21.45,21.51,21.57
